state_code,state_name,priority_score,rank,recent_3m_avg_de_facto_population,previous_3m_avg_de_facto_population,growth_rate,de_facto_population,living_population,activity_ratio,cafe_count,de_facto_population_per_cafe,condition_pop_per_cafe,condition_growth_rate,condition_activity_ratio,condition_score
11350,노원구,69.16666666666667,1,515344.7847634408,519764.9409311316,-0.850414450765444,515344.7847634408,481053,1.07128483714568,683,754.5311636360773,True,False,True,2
11710,송파구,67.5,2,772858.9947560335,769541.518265489,0.43109779158140066,772858.9947560335,650258,1.1885420783074312,1347,573.763173538258,True,True,True,3
11530,구로구,65.0,3,410901.2113342891,413897.95077880187,-0.7240285773036589,410901.2113342891,382633,1.0738781321378164,634,648.1091661424118,True,False,True,2
11650,서초구,62.5,4,650800.0283818399,640568.8383727599,1.597203828252141,650800.0283818399,414383,1.570527816975696,1288,505.27952514118,False,True,True,2
11410,서대문구,62.083333333333336,5,353254.29487240146,347220.2419564772,1.7378171508447295,353254.29487240146,299810,1.1782605479216886,683,517.2098021557855,False,True,True,2
11320,도봉구,60.00000000000001,6,306597.6959968937,311915.82762698416,-1.704989346180391,306597.6959968937,298225,1.0280750976507458,389,788.1688843107806,True,False,True,2
11200,성동구,59.583333333333336,7,356231.85223082436,349408.6562160778,1.952783908858579,356231.85223082436,274517,1.2976677299796529,770,462.6387691309407,False,True,True,2
11740,강동구,54.58333333333333,8,525174.0585001195,530342.6541602663,-0.9745766476827402,525174.0585001195,499011,1.0524298231905098,814,645.1769760443729,True,False,True,2
11110,종로구,51.24999999999999,9,370659.37772162486,351912.12073527905,5.327255266790928,370659.37772162486,136318,2.719078754981916,1248,297.0027065077122,False,True,True,2
11620,관악구,51.24999999999999,9,470218.8559775388,473791.8093090118,-0.7541188474076546,470218.8559775388,477797,0.9841394064373339,763,616.2763512156472,True,False,False,1
11260,중랑구,50.0,11,375383.5236642772,381908.4747019969,-1.7085117167957817,375383.5236642772,376386,0.9973365737946609,540,695.1546734523653,True,False,False,1
11560,영등포구,49.583333333333336,12,539324.7920678614,539639.2148801843,-0.058265375023322616,539324.7920678614,371867,1.4503163552234035,1188,453.97709770022004,False,False,True,1
11380,은평구,48.75,13,450854.32524898445,461624.1126029186,-2.3330209709383465,450854.32524898445,453212,0.9947978545338262,638,706.6682213933925,True,False,False,1
11140,중구,47.91666666666667,14,345479.0362090801,344356.8852002048,0.325868613959288,345479.0362090801,117558,2.93879647671005,1133,304.92412728074146,False,True,True,2
11500,강서구,47.916666666666664,15,621380.5967421745,629869.5129813108,-1.3477261661636006,621380.5967421745,548515,1.1328415754212273,1112,558.7955006674231,True,False,True,2
11290,성북구,42.50000000000001,16,432669.9055543609,434966.13079160266,-0.5279089737545382,432669.9055543609,421762,1.0258627035018824,847,510.8263347749243,False,False,True,1
11305,강북구,42.5,17,295418.8098169653,301424.43770404503,-1.9924157221042502,295418.8098169653,278041,1.0625008894981867,481,614.1763197857906,True,False,True,2
11230,동대문구,42.08333333333334,18,378277.85640191153,384088.1760993344,-1.512756720717214,378277.85640191153,352848,1.0720702863610152,710,532.785713242129,False,False,True,1
11170,용산구,41.66666666666667,19,300554.8291228196,301315.4937163338,-0.2524478858131135,300554.8291228196,199648,1.505423691310805,863,348.26747291172603,False,False,True,1
11470,양천구,41.66666666666667,19,411582.65142054955,422020.564922683,-2.473318688639201,411582.65142054955,421247,0.9770577628340369,611,673.6213607537636,True,False,False,1
11590,동작구,40.833333333333336,21,377442.3257935483,383353.4551520737,-1.5419528059765324,377442.3257935483,371999,1.0146326355542576,626,602.9430124497577,True,False,True,2
11215,광진구,40.416666666666664,22,370107.23026810033,370517.993860727,-0.1108619822607232,370107.23026810033,330905,1.1184697428811905,826,448.07170734636844,False,False,True,1
11680,강남구,39.166666666666664,23,941117.6467493428,949796.5127736814,-0.9137605695133406,941117.6467493428,552830,1.7023635597730638,2123,443.2961124584752,False,False,True,1
11440,마포구,37.5,24,485700.2183149343,485587.557906554,0.02320084329713139,485700.2183149343,356487,1.3624626376696325,1852,262.257137319079,False,True,True,2
11545,금천구,34.583333333333336,25,263494.82217968936,267597.21936379926,-1.533049257336518,263494.82217968936,222503,1.1842304246670354,570,462.27161785910414,False,False,True,1
